TX.PB20,2025-02-15T11:14:30.681000Z,2025-02-15T11:14:32.461000Z,1.9314362694908513e-08
4O.SA07,2025-02-15T11:14:32.243000Z,2025-02-15T11:14:35.153000Z,5.951957771532319e-09
TX.PB01,2025-02-15T11:14:42.800000Z,2025-02-15T11:14:53.070000Z,2.0715244092946332e-09
TX.PB34,2025-02-15T11:14:31.260000Z,2025-02-15T11:14:32.850000Z,5.9444778548411855e-08
2025-02-15T14:04:54.470294Z,31.71892,-104.25798,13.0,1.4882
TX.VHRN,2025-02-15T14:05:14.595000Z,2025-02-15T14:05:30.325000Z,1.4663174452886037e-08
4O.NGL01,2025-02-15T14:05:16.309000Z,2025-02-15T14:05:32.779000Z,1.1563803363563368e-08
TX.PB11,2025-02-15T14:05:00.360000Z,2025-02-15T14:05:04.950000Z,9.021295318371845e-08
TX.PB34,2025-02-15T14:04:58.740000Z,2025-02-15T14:05:02.080000Z,2.0405780891407556e-07
4O.SA02,2025-02-15T14:04:56.079000Z,2025-02-15T14:04:57.419000Z,8.687301003773375e-07
TX.PB23,2025-02-15T14:04:58.265000Z,2025-02-15T14:05:01.185000Z,1.9740071019290735e-07
4O.CT01,2025-02-15T14:04:58.895000Z,2025-02-15T14:05:02.245000Z,1.1131517850659293e-07
4O.CT02,2025-02-15T14:04:59.970000Z,2025-02-15T14:05:04.035000Z,1.011219494502079e-07
4O.NGL02,2025-02-15T14:05:15.835000Z,2025-02-15T14:05:31.615000Z,1.3481892752832453e-08
4O.CV01,2025-02-15T14:04:58.770000Z,2025-02-15T14:05:01.895000Z,1.563306547126851e-07
4O.SA09,2025-02-15T14:05:00.003000Z,2025-02-15T14:05:03.823000Z,4.2656535318327525e-08
TX.PB39,2025-02-15T14:04:58.340000Z,2025-02-15T14:05:00.915000Z,2.2241028346304e-07
4O.WB03,2025-02-15T14:05:00.392500Z,2025-02-15T14:05:04.307500Z,1.141073381738239e-07
TX.PECS,2025-02-15T14:05:03.895000Z,2025-02-15T14:05:10.385000Z,4.58884537933315e-08
TX.PB36,2025-02-15T14:04:59.520000Z,2025-02-15T14:05:02.140000Z,7.632681123605337e-08
2025-02-15T10:10:36.455824Z,31.64392,-104.18298,9.0,1.0325
TX.VHRN,2025-02-15T10:10:56.465000Z,2025-02-15T10:11:11.915000Z,1.6664985559595676e-09
TX.PB20,2025-02-15T10:10:38.891000Z,2025-02-15T10:10:40.851000Z,7.027191016162813e-08
TX.PB31,2025-02-15T10:10:39.810000Z,2025-02-15T10:10:42.410000Z,1.009315884835681e-07
TX.PB24,2025-02-15T10:10:39.643000Z,2025-02-15T10:10:42.073000Z,8.397704722268972e-08
TX.PB05,2025-02-15T10:10:55.610000Z,2025-02-15T10:11:09.840000Z,2.1283391975745897e-09
TX.PB34,2025-02-15T10:10:39.380000Z,2025-02-15T10:10:41.610000Z,2.005147505455997e-07
TX.PB36,2025-02-15T10:10:40.710000Z,2025-02-15T10:10:43.870000Z,1.2508324874136795e-08
4O.SA04,2025-02-15T10:10:39.297000Z,2025-02-15T10:10:41.397000Z,1.3074685515782982e-08
TX.PB39,2025-02-15T10:10:39.365000Z,2025-02-15T10:10:41.510000Z,1.1931471980852134e-07
TX.PB26,2025-02-15T10:10:38.687000Z,2025-02-15T10:10:40.327000Z,5.809054471951618e-08
TX.PB23,2025-02-15T10:10:38.845000Z,2025-02-15T10:10:40.555000Z,1.388394920533934e-07
4O.SA06,2025-02-15T10:10:39.141000Z,2025-02-15T10:10:41.051000Z,1.4987491110718795e-07
TX.PECS,2025-02-15T10:10:43.995000Z,2025-02-15T10:10:49.435000Z,1.1233854047744112e-08
TX.PB35,2025-02-15T10:10:40.710000Z,2025-02-15T10:10:43.280000Z,1.1855788159638729e-08
2025-02-15T10:32:07.639412Z,31.63892,-104.15298,4.0,0.749
TX.PB24,2025-02-15T10:32:09.963000Z,2025-02-15T10:32:12.423000Z,2.752105639020825e-08
4O.SA06,2025-02-15T10:32:09.961000Z,2025-02-15T10:32:12.241000Z,5.009577817791392e-08
TX.PB23,2025-02-15T10:32:08.925000Z,2025-02-15T10:32:10.335000Z,6.404134876515538e-08
TX.PB26,2025-02-15T10:32:08.747000Z,2025-02-15T10:32:09.937000Z,1.1688926995047858e-07
TX.PB39,2025-02-15T10:32:09.845000Z,2025-02-15T10:32:11.765000Z,3.788222833647266e-08
4O.SA02,2025-02-15T10:32:09.699000Z,2025-02-15T10:32:11.249000Z,2.1313119610183697e-08
TX.PB34,2025-02-15T10:32:09.750000Z,2025-02-15T10:32:11.310000Z,1.0043611623563515e-07
TX.PB20,2025-02-15T10:32:09.301000Z,2025-02-15T10:32:10.461000Z,4.296839823905572e-08
TX.PB31,2025-02-15T10:32:10.800000Z,2025-02-15T10:32:12.830000Z,4.651881745601257e-08
TX.PB35,2025-02-15T10:32:12.850000Z,2025-02-15T10:32:16.330000Z,4.504586637197039e-09
4O.SA07,2025-02-15T10:32:13.973000Z,2025-02-15T10:32:18.283000Z,6.2483858313219165e-09
TX.PB33,2025-02-15T10:32:10.355000Z,2025-02-15T10:32:11.965000Z,1.0353868152689346e-07
TX.PECS,2025-02-15T10:32:15.110000Z,2025-02-15T10:32:20.045000Z,9.643436532811346e-09
2025-02-15T12:46:14.360000Z,31.66392,-104.19298,9.0,1.1243
4O.SA02,2025-02-15T12:46:16.369000Z,2025-02-15T12:46:18.059000Z,1.0800381746858955e-07
4O.SA06,2025-02-15T12:46:16.681000Z,2025-02-15T12:46:18.581000Z,9.003240515488312e-08
TX.PB31,2025-02-15T12:46:17.650000Z,2025-02-15T12:46:20.220000Z,1.3116132257926254e-07
TX.PB34,2025-02-15T12:46:17.290000Z,2025-02-15T12:46:19.560000Z,1.7728612003447244e-07
TX.PB39,2025-02-15T12:46:17.215000Z,2025-02-15T12:46:19.420000Z,9.775408633045892e-08
4O.SA04,2025-02-15T12:46:16.937000Z,2025-02-15T12:46:18.877000Z,3.39734705737191e-08
